,group,names,scores,logfoldchanges,pvals,pvals_adj
34873,2,MPPED1,19.026743,1.7630655,1.0242484702383262e-80,3.3028219652333286e-78
34874,2,TMEM108,19.019463,1.7993494,1.1768241116511088e-80,3.72582513748741e-78
34875,2,RGS6,18.94416,1.795645,4.93401776864055e-80,1.5342152036667481e-77
34876,2,NPAS2,18.683733,1.9697373,6.715480623175466e-78,2.0161493808854204e-75
34877,2,SLC24A2,18.059183,2.1273801,6.68028561675007e-73,1.7895971299149072e-70
34878,2,ENSHGLG00000007341,17.971985,1.8576677,3.2294512314914686e-72,8.39319914835238e-70
34880,2,EML1,17.460802,1.7409248,2.8490400367244557e-68,7.18990350137434e-66
34881,2,PBX3,17.387827,1.889443,1.0203047091626511e-67,2.5380808429498916e-65
34883,2,NIN,17.229864,2.081856,1.5852137323802924e-66,3.8337953780469486e-64
34884,2,NOS1AP,17.227577,1.7906817,1.6491580905108624e-66,3.9338068260363903e-64
34885,2,LMO4,17.054087,2.0389516,3.25932578321628e-65,7.669545927452039e-63
34886,2,ASAP1,16.817062,1.6397836,1.830135093434947e-63,4.1387197898678875e-61
34887,2,GTDC1,16.749472,1.7040888,5.713155471428677e-63,1.259280711696045e-60
34889,2,KLHL29,16.260548,1.7961575,1.880515755061595e-59,4.0426445485046366e-57
34895,2,SHROOM3,15.77802,1.5739453,4.407974374661879e-56,8.5284508651097e-54
34896,2,MAPK4,15.483314,2.4205575,4.496995057184946e-54,8.242755255869628e-52
34898,2,PRMT8,15.464983,1.8527453,5.978928029323763e-54,1.0733100389135533e-51
34901,2,HIVEP2,15.137946,2.0603664,9.101164040440689e-52,1.5690947468930071e-49
34902,2,RTTN,15.083304,1.7408757,2.0856458017683815e-51,3.560524543744394e-49
34910,2,ENSHGLG00000000553,14.468281,2.1522875,1.922176667344688e-47,2.885419164523539e-45
34911,2,Oprm1,14.45677,1.7538594,2.272122244938755e-47,3.381578175309277e-45
34912,2,CAMK4,14.452643,1.6303407,2.4124757587337345e-47,3.5600373209178405e-45
34919,2,LRRC4C,13.875905,1.6470995,8.866670788077347e-44,1.1785903697159607e-41
34920,2,CD47,13.843119,2.0978956,1.399984458901686e-43,1.846812832034474e-41
34921,2,PPM1L,13.836116,1.5074953,1.543225885553205e-43,2.020465589859997e-41
34924,2,ATP2B2,13.582125,1.7742027,5.11217274462784e-42,6.404191654834861e-40
34925,2,DNAJC1,13.565075,1.6876142,6.451378673035638e-42,8.024132630969254e-40
34927,2,FRMD6,13.519412,2.6267636,1.2013181494950192e-41,1.4731375307856877e-39
34931,2,OSBPL1A,12.920804,1.6027154,3.43533361900715e-38,3.9615539276669876e-36
34933,2,HS3ST2,12.857159,2.2679253,7.840565126267914e-38,8.923383042072103e-36
34942,2,TBC1D8,12.243702,2.0173361,1.8155845213015428e-34,1.893100195773878e-32
34943,2,SV2B,12.129513,1.8134023,7.368664581406557e-34,7.59234061278298e-32
34944,2,ARMC3,12.086795,2.2196915,1.2403106122234554e-33,1.2630133737220486e-31
34947,2,CDKL5,12.008008,1.5580038,3.225211608734401e-33,3.227621249591501e-31
34948,2,ARMH4,11.928904,2.8615444,8.366859905055444e-33,8.27796201856423e-31
34949,2,IGSF21,11.927446,1.6160992,8.514542307591183e-33,8.376481649835327e-31
34951,2,CADPS2,11.509429,1.5461675,1.1825830905261573e-30,1.1071139438350525e-28
34955,2,ENSHGLG00000014005,11.3792305,1.7373741,5.306590316704029e-30,4.714472305345268e-28
34959,2,RSPO2,11.166157,2.300314,5.970855311080208e-29,5.096593310384297e-27
34967,2,ENSHGLG00000009229,10.8480835,1.5171211,2.0365110317989773e-27,1.6493844928704928e-25
34968,2,JCAD,10.808765,2.2000458,3.1285116161425254e-27,2.5104503581516035e-25
34972,2,ENSHGLG00000015812,10.599238,2.0772588,3.004177157629372e-26,2.3146786214955866e-24
34977,2,ENSHGLG00000010545,10.43787,1.6709654,1.6650452306626358e-25,1.2390355812619007e-23
34982,2,LMTK2,10.154691,1.6356233,3.1580996023358928e-24,2.244570954101016e-22
34990,2,HIVEP1,9.910696,1.6923786,3.740325083182781e-23,2.5342521662825588e-21
35003,2,BAIAP2,9.366144,1.884685,7.523095296999256e-21,4.628963194581203e-19
35008,2,LDLRAD3,9.262405,1.5646752,1.998775495784514e-20,1.1878729593206739e-18
35013,2,KCNK9,9.128073,1.7661914,6.972928277215595e-20,4.0608561903396375e-18
35016,2,RNF112,8.98519,1.60398,2.58286435506782e-19,1.4555151137474416e-17
35018,2,CEP126,8.89258,1.541544,5.970628341954092e-19,3.3429759266381547e-17
35040,2,TIAM2,8.378628,1.5150038,5.354813908521803e-17,2.6871289506942407e-15
35052,2,CDYL,8.132711,1.5196149,4.197936024998082e-16,1.997231147630918e-14
52243,3,RORB,29.898268,4.370215,2.0725450048071702e-196,7.217845233741452e-193
52244,3,CNTN3,29.65568,3.606563,2.865383204812711e-193,8.315819624233956e-190
52245,3,PVRL3,29.046856,3.7687144,1.6861011636202696e-185,4.194297080302822e-182
52246,3,ADAMTSL1,28.541918,3.328389,3.538843144446994e-179,7.702734459281939e-176
52248,3,RORA,27.90697,3.1695395,2.1959889466140534e-171,3.823875552739051e-168
52251,3,CPNE8,27.672049,3.4915144,1.5153663294834271e-168,2.0297749150226857e-165
52252,3,UNC5C,26.38153,2.9589903,2.2322933900904392e-153,2.7764946286889156e-150
52253,3,KCNH5,25.813864,3.6648333,6.19669718310412e-147,7.193539203292804e-144
52254,3,ZNF385B,25.141253,2.9172175,1.7615269117322164e-139,1.917091757124568e-136
52256,3,FRAS1,24.851665,3.1119404,2.480801745146803e-136,2.3999000437911822e-133
52257,3,SCHIP1,24.787926,2.7376556,1.2099597596560664e-135,1.108896278678478e-132
52258,3,SATB2,24.461096,2.9319794,3.834770218898143e-132,3.338742691083668e-129
52259,3,EPHA4,23.45406,3.3330724,1.2016306255277252e-121,9.510906401051945e-119
52260,3,KCTD16,23.309305,2.6996691,3.567635236795723e-120,2.7010101034053878e-117
52261,3,DLG1,23.061056,2.5822163,1.1393701520160691e-117,8.26660519043992e-115
52262,3,FAT3,22.941816,2.5088844,1.778517974550584e-116,1.1911282111865123e-113
52263,3,SCN1A,22.832027,2.9104786,2.2049152853040015e-115,1.4220070319629103e-112
52265,3,NWD2,22.566006,2.768702,9.352285862278393e-113,5.428378457328456e-110
52271,3,DGKH,21.407701,2.58382,1.1326416277473379e-101,5.330456395666053e-99
52273,3,LDLRAD4,20.093853,2.688661,8.352167902179353e-90,3.635907492016227e-87
52277,3,PDZRN3,18.86798,3.2045903,2.0914305929996588e-79,7.748527854447459e-77
52278,3,RAPGEF5,18.506521,2.4371288,1.8294131860832998e-76,6.126071501782404e-74
52279,3,FOXP1,18.373909,2.4716082,2.1253859546757084e-75,6.982895401654361e-73
52280,3,PTPRO,18.26603,2.0455,1.5427518115965228e-74,4.884352235514591e-72
52281,3,DOK5,18.2614,2.485059,1.6792616943052587e-74,5.221604264810263e-72
52282,3,KCNH1,18.134474,2.6657186,1.7032045488818953e-73,5.203140492926394e-71
52283,3,GPR158,17.91905,2.390958,8.374565028499849e-72,2.514246566228756e-69
52284,3,CNKSR2,17.677765,2.0275316,6.221507075613766e-70,1.8055850451277085e-67
52287,3,KCNQ3,17.61742,1.7998712,1.8107613260958708e-69,5.004886820842444e-67
52290,3,CNTN5,16.460327,1.975843,7.071819365793514e-61,1.6418878748874994e-58
52291,3,BRINP1,16.29328,2.0832093,1.1015937771511128e-59,2.397756555191541e-57
52295,3,OSBPL1A,16.218397,2.654004,3.7382571715829214e-59,7.749318110568263e-57
52296,3,PLXDC2,16.142298,2.2243068,1.2866132729866322e-58,2.6050926654088634e-56
52297,3,CPNE4,16.10037,2.6564903,2.5357837918494703e-58,5.075356685916647e-56
52298,3,ARHGAP44,15.7843275,1.9095569,3.9887856789091734e-56,7.549644024657113e-54
52301,3,LRRC4C,15.492206,2.4554815,3.9162207546052585e-54,6.88819717171125e-52
52302,3,ANTXR1,15.246838,2.6315033,1.728030059136727e-52,2.89328725189883e-50
52305,3,CUX1,15.05527,2.3052402,3.187950015040154e-51,5.092823267146256e-49
52306,3,KCNJ6,15.013022,2.7859745,6.033492768946366e-51,9.464973836546222e-49
52307,3,ADGRL2,15.009516,2.1751056,6.361078469343796e-51,9.889773159525314e-49
52308,3,MAST4,14.764709,2.347137,2.4738656101799256e-49,3.7458627713098296e-47
52310,3,ASAP1,14.182537,1.9211649,1.175204621497861e-45,1.6637266726944922e-43
52311,3,PRMT8,14.170432,2.4203012,1.3963923078306319e-45,1.9452303405003833e-43
52312,3,RAPGEF2,14.130435,1.850052,2.4661497952447124e-45,3.4081798717933476e-43
52315,3,PDE4B,14.0065365,1.5886738,1.4217117156470964e-44,1.875474704891128e-42
52319,3,TRPM3,13.688037,1.6233108,1.1969921634104118e-42,1.510378589961268e-40
52320,3,GPC6,13.667279,1.5743012,1.5923851579689376e-42,1.980585911122365e-40
52321,3,ARL15,13.521116,1.9497683,1.173809223562685e-41,1.4496127666593641e-39
52322,3,EDIL3,13.147344,1.9262269,1.76258439884342e-39,2.059857861547683e-37
52323,3,MCTP1,12.975938,1.6996242,1.6753248688072977e-38,1.906694898074606e-36
52324,3,FBXW7,12.917872,1.634043,3.5687543143499055e-38,4.009207669404833e-36
52325,3,RFX3,12.916361,1.6437742,3.639535642686592e-38,4.062515009365489e-36
52326,3,SHANK2,12.873629,1.8727225,6.335424883899424e-38,7.026672197665011e-36
52328,3,ARHGAP21,12.637144,1.6688776,1.3175378037597621e-36,1.3989198644432158e-34
52330,3,ENSHGLG00000010529,12.5069275,2.5959537,6.842023558141767e-36,6.886714232249861e-34
52331,3,ITGA9,12.39177,2.8150198,2.895797456456021e-35,2.8170123524731115e-33
52332,3,ENTREP2,12.316142,1.8201683,7.415819336141206e-35,7.056374978154471e-33
52333,3,GRM1,12.001329,1.6221623,3.4963458048120345e-33,3.0904502283853784e-31
52334,3,CADPS2,11.958208,1.886725,5.8817456060582525e-33,5.120941811914618e-31
52335,3,NPAS2,11.690706,1.9585972,1.4219882064258936e-31,1.1306429515294102e-29
52336,3,ENSHGLG00000000062,11.664567,1.9885951,1.933846581963123e-31,1.5237135987205367e-29
52337,3,CDH6,11.579899,2.2984476,5.210779610020839e-31,4.0148365198802155e-29
52338,3,LHFP,11.567875,2.1612408,5.994936809046798e-31,4.598671130217264e-29
52339,3,ENSHGLG00000002620,11.305911,2.0691931,1.2267360109216992e-29,8.613368612169172e-28
52342,3,KCTD1,11.1013,1.9135071,1.2363140891739782e-28,8.154521679843365e-27
52343,3,CA10,10.8258,1.5421292,2.5980101952448864e-27,1.6450600556290622e-25
52344,3,R3HDM1,10.673157,1.6156757,1.3592821646666287e-26,8.304975555557896e-25
52345,3,KLHL32,10.397915,1.7461274,2.5341787474514327e-25,1.3920395750590473e-23
52346,3,ARHGEF28,10.319148,2.0929809,5.773296012533573e-25,3.1317882699765457e-23
52347,3,ANTXR2,10.174719,2.8196042,2.5714059772144623e-24,1.3286614920247902e-22
52350,3,PDGFC,10.06689,1.8652858,7.73867890965947e-24,3.8611351247535924e-22
52351,3,ROR2,9.720346,2.2003596,2.46938772973484e-22,1.1590147853874062e-20
52352,3,FMN1,9.667843,2.3074768,4.1299100130092383e-22,1.922837514880478e-20
52354,3,SSX2IP,9.518832,2.0666997,1.7513598349213792e-21,7.859904331310819e-20
52355,3,RGL1,9.476655,1.9084356,2.625653278463193e-21,1.163371514958768e-19
52357,3,UBE3D,9.410454,2.0198383,4.940009916864972e-21,2.0878736087953826e-19
52362,3,CAP2,8.972438,1.8408003,2.900225106428036e-19,1.052117078713154e-17
52363,3,CDKL5,8.885604,1.7547709,6.357427662969751e-19,2.245474399498829e-17
52365,3,SATB1,8.464312,1.6844198,2.5766975738135035e-17,7.983636094806856e-16
52366,3,LAMB1,8.445609,1.9750389,3.0246382007952635e-17,9.321774334592554e-16
52368,3,PTPRR,8.3843975,1.5576283,5.09863204388934e-17,1.5521412548993895e-15
52369,3,ANOS1,8.301214,2.2384248,1.0305281582520771e-16,3.0518004795311937e-15
52370,3,CIT,8.226069,1.7483015,1.934570012507434e-16,5.568044235998669e-15
52371,3,GUCY1A2,8.00887,1.5001565,1.1576727880881635e-15,3.077642176943388e-14
52374,3,SORT1,7.775452,2.1276615,7.517834968063335e-15,1.8411822826847657e-13
